,nueva_fecha_vistos,Precio medio
179,2017-11-17,65.57000000000001
180,2017-11-18,587.2393749999998
181,2017-12-04,666.9100000000004
182,2017-12-05,269.74300000000005
183,2017-12-06,412.892295081967
184,2017-12-07,624.4500581395345
185,2017-12-08,403.3576886792453
186,2017-12-09,414.2596969696971
187,2017-12-10,311.705
188,2017-12-11,69.79
189,2017-12-12,233.9893421052631
190,2017-12-13,928.8741666666665
191,2017-12-14,208.4754444444444
192,2017-12-15,41.45
193,2018-01-09,466.8636842105265
194,2018-01-10,562.975763888889
195,2018-01-11,79.99
196,2018-01-12,411.3107407407411
197,2018-01-13,368.36760000000004
198,2018-01-18,358.00880000000006
199,2018-01-20,1359.269
200,2018-01-21,373.2848214285714
201,2018-01-22,118.21921875000001
202,2018-01-23,308.51464285714286
203,2018-01-24,124.81666666666668
204,2018-01-25,337.64176470588234
205,2018-01-27,438.3633823529412
206,2018-01-28,443.78147058823515
207,2018-01-29,323.52
208,2018-02-05,405.91079999999994
209,2018-02-06,149.8985
210,2018-02-07,360.6633333333333
211,2018-02-17,297.8209090909091
212,2018-03-02,129.88
213,2018-03-04,176.33863636363637
214,2018-03-05,271.4122222222222
215,2018-03-06,67.49
216,2018-03-08,89.99
217,2018-03-09,1296.0517441860463
218,2018-03-15,445.9487499999999
219,2018-03-18,107.50750000000001
220,2018-03-19,403.6575
221,2018-03-20,529.0384615384614
222,2018-03-22,283.59
223,2018-03-23,76.756
224,2018-03-24,330.1392982456142
225,2018-03-30,438.31923076923124
226,2018-03-31,648.99
227,2018-04-02,75.13
228,2018-04-03,286.7659999999999
229,2018-04-10,2597.99
230,2018-04-16,99.99
231,2018-04-24,242.45153846153838
232,2018-04-25,53.49
233,2018-04-26,1286.5437295081972
234,2018-04-28,498.5
235,2018-04-29,674.0
236,2018-05-02,319.99
237,2018-05-03,576.4089473684211
238,2018-05-04,302.72693181818215
239,2018-05-06,1029.8025
240,2018-05-07,478.3174285714287
241,2018-05-24,776.2330769230769
242,2018-05-25,743.1988372093026
243,2018-05-26,502.76461873638186
244,2018-05-27,502.5360902255635
245,2018-05-28,200.90874999999994
246,2018-05-31,134.21625
247,2018-06-01,436.64691666666636
248,2018-06-02,304.48857142857145
249,2018-06-03,130.8125
250,2018-06-04,648.8866666666665
251,2018-06-05,75.0
252,2018-06-08,177.2005882352941
253,2018-06-10,222.00619047619034
254,2018-06-14,1073.3819999999998
255,2018-06-15,292.90666666666664
256,2018-06-17,1199.99
257,2018-06-18,646.6533333333332
258,2018-06-19,593.7727173913046
259,2018-06-20,307.7473469387755
260,2018-06-22,687.19
261,2018-07-25,222.37666666666667
