prices.amountMax,prices.amountMin,Disponibilidad,Estado,prices.isSale,Tienda Precio,Envios,Categoria Principal,secondary category
199.99,199.99,In Stock,New,0,bhphotovideo,Minimum Order Free Shipping,Wireless Tech,Wireless Tech
89.99,89.99,In Stock,New,0,walmart,Free Expedited Shipping,Computer and accessories,Discos duros
99.0,99.0,In Stock,New,0,ebay,Free Standard Shipping,Computer and accessories,Discos duros
83.99,83.99,In Stock,New,1,bhphotovideo,Free Expedited Shipping,Computer and accessories,Discos duros
84.99,84.99,In Stock,New,0,bhphotovideo,Minimum Order Free Shipping,Computer and accessories,Discos duros
90.71,90.71,In Stock,New,0,walmart,Free Standard Shipping,Computer and accessories,Discos duros
84.99,84.99,In Stock,New,0,bestbuy,Free Standard Shipping,Computer and accessories,Discos duros
89.95,89.95,In Stock,New,0,bhphotovideo,Minimum Order Free Shipping,Computer and accessories,Discos duros
199.0,199.0,In Stock,New,0,ebay,Free Standard Shipping,TV and accessories,Home Theater
159.98,159.98,In Stock,New,0,bestbuy,Free Standard Shipping,TV and accessories,Home Theater
199.98,199.98,In Stock,New,0,bestbuy,Free Standard Shipping,TV and accessories,Home Theater
75.0,75.0,In Stock,Refurbished,0,ebay,Free Standard Shipping,TV and accessories,Home Theater
51.99,51.99,In Stock,New,0,walmart,Free Expedited Shipping,Audio and accessories,Audio
99.99,49.95,In Stock,New,1,walmart,Free Expedited Shipping,Audio and accessories,Audio
49.99,49.99,In Stock,New,0,ebay,Free Standard Shipping,Audio and accessories,Audio
66.99,66.99,In Stock,New,1,bestbuy,Free Standard Shipping,Audio and accessories,Audio
99.99,44.36,In Stock,New,1,walmart,Free Expedited Shipping,Audio and accessories,Audio
79.99,79.99,In Stock,New,0,bestbuy,Free Standard Shipping,Audio and accessories,Audio
44.35,44.35,In Stock,New,0,walmart,Free Expedited Shipping,Audio and accessories,Audio
72.99,72.99,In Stock,New,1,bestbuy,Free Standard Shipping,Audio and accessories,Audio
65.99,65.99,In Stock,New,1,bestbuy,Free Standard Shipping,Audio and accessories,Audio
71.99,71.99,In Stock,New,1,bestbuy,Free Standard Shipping,Audio and accessories,Audio
89.99,89.99,In Stock,New,0,bestbuy,Free Standard Shipping,Audio and accessories,Audio
80.99,80.99,In Stock,New,1,bestbuy,Free Standard Shipping,Audio and accessories,Audio
64.99,64.99,In Stock,New,1,bestbuy,Free Standard Shipping,Audio and accessories,Audio
59.99,59.99,In Stock,New,1,bestbuy,Free Standard Shipping,Audio and accessories,Audio
249.99,249.99,Out of Stock,New,0,bestbuy,Free Standard Shipping,Computer and accessories,Computer
289.99,289.99,In Stock,New,0,bestbuy,Free Standard Shipping,Computer and accessories,Computer
270.99,270.99,In Stock,New,1,bestbuy,Free Standard Shipping,Computer and accessories,Computer
